TRRN,Timestamp,Amount,Year,Month,Employees,Link
2032007008668,13-JUL-2020 17:53:10,"2,32,899",20,JUN,8,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-44-9CB7473B818814C765753304BC926813
2032006007768,16-JUN-2020 01:22:37,"1,64,49,996",20,MAY,463,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-14-9CB7473B818814C765753304BC926813
2032005005310,13-MAY-2020 08:30:29,"1,65,36,858",20,APR,467,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-93-9CB7473B818814C765753304BC926813
2032004005129,13-APR-2020 20:32:05,"1,65,83,457",20,MAR,489,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-101-9CB7473B818814C765753304BC926813
2032004005039,13-APR-2020 21:18:38,"19,460",20,FEB,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-129-9CB7473B818814C765753304BC926813
2032003010704,13-MAR-2020 21:36:43,"1,61,80,928",20,FEB,480,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-43-9CB7473B818814C765753304BC926813
2032002011891,15-FEB-2020 14:18:33,"1,59,57,989",20,JAN,478,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-75-9CB7473B818814C765753304BC926813
2032001009232,14-JAN-2020 02:53:40,"1,53,01,993",19,DEC,475,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-26-9CB7473B818814C765753304BC926813
2031912009600,17-DEC-2019 08:57:51,"1,54,52,222",19,NOV,478,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-50-9CB7473B818814C765753304BC926813
2031911011137,15-NOV-2019 19:19:27,"1,54,33,537",19,OCT,484,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-128-9CB7473B818814C765753304BC926813
2031910010921,17-OCT-2019 05:48:26,"66,986",19,SEP,2,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-80-9CB7473B818814C765753304BC926813
2031910008005,17-OCT-2019 05:37:28,"1,52,54,934",19,SEP,474,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-1-9CB7473B818814C765753304BC926813
2031909011111,16-SEP-2019 17:56:00,"1,50,51,852",19,AUG,471,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-49-9CB7473B818814C765753304BC926813
2031909011109,16-SEP-2019 17:53:42,"66,986",19,AUG,2,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-12-9CB7473B818814C765753304BC926813
2031908009794,14-AUG-2019 08:59:35,"1,66,339",19,JUL,5,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-100-9CB7473B818814C765753304BC926813
